HID,lon,lat,species,sid,family,category,presence,fraction,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,annualpet,aridityindexthornthwaite,climaticmoistureindex,embergerq,maxtempcoldest,petseasonality,tri,topowet,nontree,bare,tree,etccdi_cdd,etccdi_cwd,etccdi_fd,etccdi_gsl,etccdi_rx1day,etccdi_rx5day,etccdi_sdii,igbp_01,igbp_02,igbp_03,igbp_04,igbp_05,igbp_06,igbp_07,igbp_08,igbp_09,igbp_10,igbp_11,igbp_12,igbp_13,igbp_14,igbp_15,igbp_16
70540,73.989476,39.572575,Alces alces,56003281,Cervidae,LC,0,0,-1.752093,11.68816,32.514483,893.592518,16.337749,-19.476737,35.814486,212.282582,34.757562,6.511295,52.147782,92.819803,23.409978,76.079182,25.55629,3707.255658,620.207135,66.367042,-0.508922,25.579499,-138.288782,4490.275784,158.48485,7.756629,35.283848,62.428992,2.287161,60.082094,8.919921,202.183261,149.698449,19.784749,46.975671,4.60395,0,0,0,0,0,0,0,0,0.000249,0.226109,0,0,0,0,0.033568,0.739577
70620,74.184153,39.111324,Alces alces,56003281,Cervidae,LC,0,0,-4.083902,11.835412,33.006644,870.769295,14.309017,-21.401922,35.710939,162.430306,26.142651,5.567954,50.922412,67.144268,18.231751,57.202808,21.998477,4202.187622,539.779157,68.977071,-0.523681,21.689995,-160.18565,4122.162368,136.894194,8.021963,26.314695,72.323849,1.361456,62.283474,8.909168,208.08213,142.424945,19.826144,47.088529,4.627472,0,0,0,0,0,0,0,0,0,0.026505,0,8.3e-05,0,0,0.034374,0.939038
70701,74.370247,38.649052,Alces alces,56003281,Cervidae,LC,0,0,-4.298809,12.429307,33.009137,897.17822,14.604268,-22.992986,37.597254,128.757127,21.23255,3.699096,51.210931,52.497921,13.123588,47.276589,17.934014,4333.432314,528.637497,75.090827,-0.66043,15.715655,-161.772663,4068.913484,118.997159,8.471652,27.020825,71.150244,1.828931,61.613595,9.421765,221.201729,127.491724,21.919673,52.944203,4.925637,0,0,0,0,0,0,0.000248,0,0,0.065424,0,0,0,0,0,0.933416
70621,74.391592,40.010131,Alces alces,56003281,Cervidae,LC,0,0,0.40328,12.159612,33.409118,914.849354,18.464983,-17.996593,36.461576,239.972377,41.803247,5.844804,58.339598,112.713142,21.923397,93.805917,23.557376,3270.804789,688.758698,65.583478,-0.582125,24.497128,-123.11171,4814.487088,132.982283,7.998986,40.860448,55.679949,3.459603,54.819909,8.750756,205.88376,149.612052,18.66465,44.184277,4.288273,0,0,0,0,0,0,0,0,0.000331,0.390072,8.3e-05,0.000249,0,0,0,0.609265
70702,74.588973,39.549016,Alces alces,56003281,Cervidae,LC,0,0,1.920602,12.080019,34.465423,867.562894,19.445323,-15.59848,35.043803,156.767008,27.330029,2.754002,64.026293,75.003771,10.975668,68.086129,11.926331,3197.770912,730.567985,74.825239,-0.716278,17.242726,-111.960806,4934.4306,152.04791,7.867152,33.031187,64.96844,2.000373,57.167495,8.741516,209.222362,145.35916,18.708617,44.360929,4.319751,0,0,0,0,0,0,0,0,0,0.063028,0,0,0,0,0,0.936972
70863,74.959371,38.6238,Alces alces,56003281,Cervidae,LC,0,0,-4.239096,11.922057,33.970503,852.943305,13.733511,-21.127813,34.861324,125.459264,21.603573,2.543754,64.905217,55.69792,8.799664,54.428809,11.697999,4251.789995,555.466223,78.60053,-0.718676,12.10244,-158.555805,4164.125271,170.583367,7.635814,29.255352,69.397763,1.346884,64.133561,9.176151,221.999594,127.488584,21.550279,51.809723,4.866125,0,0,0,0,0,0,0.005219,0.000497,0,0.101309,0,0,0.000249,0,0.061465,0.827121
70784,74.995995,39.984538,Alces alces,56003281,Cervidae,LC,0,0,-0.461021,12.04407,34.34106,876.611529,17.344934,-17.768517,35.113452,205.766557,35.032018,3.771055,64.377301,97.886679,14.015623,90.203976,16.149625,3468.643387,651.521941,67.596137,-0.62316,20.490976,-137.096014,4661.918148,131.768301,7.956582,30.417771,65.589021,3.993208,41.865765,8.5622,215.52174,147.801295,17.299527,40.321148,3.764363,0,0,0,0,0,0,0,0,0,0.327009,0,0,0,0,0.000829,0.672162
70944,75.131398,38.159926,Alces alces,56003281,Cervidae,LC,0,0,-5.026156,11.648292,33.10261,858.947453,13.016963,-21.884597,34.901559,113.010332,19.874576,2.208889,63.866766,48.709582,8.744131,47.943418,12.262297,4372.97707,547.678402,82.567601,-0.774741,9.552958,-159.591466,4109.462005,138.395169,8.014153,26.792298,72.38779,0.819913,63.473198,9.811951,244.9333,102.717487,23.076723,55.807483,5.035658,0,0,0,0,0,0,0.01783,0.000415,0,0.072898,0,8.3e-05,0,0,0.056809,0.851966
70864,75.188027,39.522496,Alces alces,56003281,Cervidae,LC,0,0,8.787802,13.079585,33.152465,963.554934,27.238056,-12.226722,39.464778,135.333555,23.479778,2.017025,62.096132,57.810553,8.65001,57.400486,10.411125,2092.395848,978.0574,85.608271,-0.855957,11.562248,-49.172748,5786.319029,56.510963,9.378512,30.07659,69.164551,0.758859,80.106114,8.098562,208.897065,148.197181,17.128764,40.419959,4.022087,0,0,0,0,0,0,0,0,0,0.060704,0,0.001077,0.001656,0,0.001905,0.934658
70945,75.372228,39.059513,Alces alces,56003281,Cervidae,LC,0,0,6.800813,13.213738,33.667074,961.28132,25.361885,-13.947277,39.309161,102.213064,20.101582,1.080807,70.992832,47.630317,4.468251,47.240677,5.984029,2398.485383,942.155156,89.242274,-0.887924,8.055783,-57.561897,5604.85972,105.654342,8.808327,31.867095,65.332263,2.800642,98.221607,7.697245,210.599714,145.296597,16.614922,39.251823,4.049203,0,0,0,0,0,0,0.005385,0,8.3e-05,0.187407,0,0.019718,0.000331,0,0.094532,0.692461
71105,75.446128,37.230414,Alces alces,56003281,Cervidae,LC,0,0,-4.585979,11.623398,31.913206,904.97018,13.989208,-22.303306,36.292514,93.885404,17.243507,1.311492,61.246781,40.008126,8.112707,39.902161,12.67496,4417.015601,557.698902,88.438403,-0.862881,6.525799,-154.206072,4159.184258,155.289312,7.841443,31.067575,67.315385,1.61704,57.713502,10.175039,256.923763,88.451895,24.079591,58.600968,5.206166,0,0,0,0,0,0,0.034043,0,0,0.115381,0,0,0,0,0.034871,0.815704
70946,75.59989,39.955935,Alces alces,56003281,Cervidae,LC,0,0,4.950378,12.253321,34.012426,892.324026,22.471971,-13.624453,36.096423,156.722619,27.222439,2.129549,67.657876,73.302853,8.775874,71.560356,9.994261,2618.753442,832.872781,79.237985,-0.786366,14.352374,-91.895915,5342.58798,82.405871,8.910873,33.315207,64.89959,1.785203,85.400938,7.808924,204.019559,154.18877,16.558963,38.71619,3.912371,0,0,0,0,0,0,0.000745,0,0,0.407107,0,0,0.000414,0,0,0.591734
71027,75.786621,39.493023,Alces alces,56003281,Cervidae,LC,0,0,11.109912,13.744662,31.964731,1051.323685,30.693706,-12.307097,43.000803,104.822878,17.713731,1.972925,56.065165,41.457486,7.72679,41.060382,9.778708,1533.428055,1111.944759,91.806198,-0.918257,7.308635,-14.696317,6170.136448,24.658953,11.243555,36.38211,62.063305,1.554584,105.147799,7.302295,202.823435,155.002874,15.807139,36.845603,3.887378,0,0,0,0,0,0,0.003563,0,0,0.170768,0,0.280802,0.016489,0,8.3e-05,0.528296
71187,75.873103,37.666063,Alces alces,56003281,Cervidae,LC,0,0,-0.128261,12.214472,35.254276,841.462968,17.144708,-17.448953,34.593661,63.827066,15.638402,0.277701,81.478559,33.817009,2.234279,33.812806,3.828615,3770.535064,672.192465,91.671873,-0.911772,4.921748,-126.679199,4656.107229,211.822398,7.325597,35.137798,62.448994,2.413208,66.724942,9.502674,240.424835,108.700096,22.905216,54.781537,5.019328,0,0,0,0,0,0,0.000994,0,0.000166,0.429341,0,0,0,0,0,0.5695
71107,75.965658,39.029255,Alces alces,56003281,Cervidae,LC,0,0,11.535661,14.442105,32.736746,1067.845538,31.506891,-12.589152,44.096044,75.679617,15.064191,1.056158,64.184426,33.129794,4.245358,32.334374,5.697827,1495.962877,1157.977357,94.439886,-0.944228,5.173214,-3.478576,6281.934219,19.143838,11.456642,42.44014,55.320585,2.239276,110.410003,7.189156,204.868786,151.902357,15.857155,36.941201,3.951427,0,0,0,0,0,0,0.001574,0,0,0.202949,0,0.321736,0.003893,0,0.000746,0.469019
