HID,lon,lat,species,sid,family,category,presence,fraction,bio02,bio15,bio19,elevation,aridityindexthornthwaite,maxtempcoldest,tri,topowet,nontree,etccdi_cwd,landcover_igbp
70540,73.989476,39.572575,Ovis ammon,15733,Bovidae,NT,1,1,11.68816,52.147782,25.55629,3707.255658,66.367042,-138.288782,158.48485,7.756629,35.283848,8.919921,16
70620,74.184153,39.111324,Ovis ammon,15733,Bovidae,NT,1,1,11.835412,50.922412,21.998477,4202.187622,68.977071,-160.18565,136.894194,8.021963,26.314695,8.909168,16
70621,74.391592,40.010131,Ovis ammon,15733,Bovidae,NT,1,1,12.159612,58.339598,23.557376,3270.804789,65.583478,-123.11171,132.982283,7.998986,40.860448,8.750756,16
70701,74.370247,38.649052,Ovis ammon,15733,Bovidae,NT,1,1,12.429307,51.210931,17.934014,4333.432314,75.090827,-161.772663,118.997159,8.471652,27.020825,9.421765,16
70702,74.588973,39.549016,Ovis ammon,15733,Bovidae,NT,1,1,12.080019,64.026293,11.926331,3197.770912,74.825239,-111.960806,152.04791,7.867152,33.031187,8.741516,16
70783,74.778387,39.086872,Ovis ammon,15733,Bovidae,NT,1,1,11.508641,64.387641,14.284344,4063.382796,73.92376,-154.173691,171.70467,7.584405,28.753764,8.784726,16
70784,74.995995,39.984538,Ovis ammon,15733,Bovidae,NT,1,1,12.04407,64.377301,16.149625,3468.643387,67.596137,-137.096014,131.768301,7.956582,30.417771,8.5622,16
70863,74.959371,38.6238,Ovis ammon,15733,Bovidae,NT,1,0.992668,11.922057,64.905217,11.697999,4251.789995,78.60053,-158.555805,170.583367,7.635814,29.255352,9.176151,16
70864,75.188027,39.522496,Ovis ammon,15733,Bovidae,NT,1,1,13.079585,62.096132,10.411125,2092.395848,85.608271,-49.172748,56.510963,9.378512,30.07659,8.098562,16
70865,75.405842,40.417903,Ovis ammon,15733,Bovidae,NT,1,1,12.593597,67.054129,17.595293,3517.519373,63.25336,-149.352373,67.171978,9.29874,35.606876,7.885739,10
70944,75.131398,38.159926,Ovis ammon,15733,Bovidae,NT,1,0.940903,11.648292,63.866766,12.262297,4372.97707,82.567601,-159.591466,138.395169,8.014153,26.792298,9.811951,16
70945,75.372228,39.059513,Ovis ammon,15733,Bovidae,NT,1,0.71207,13.213738,70.992832,5.984029,2398.485383,89.242274,-57.561897,105.654342,8.808327,31.867095,7.697245,16
70946,75.59989,39.955935,Ovis ammon,15733,Bovidae,NT,1,1,12.253321,67.657876,9.994261,2618.753442,79.237985,-91.895915,82.405871,8.910873,33.315207,7.808924,16
71025,75.293875,37.695403,Ovis ammon,15733,Bovidae,NT,1,1,12.318103,71.204479,8.408824,3987.355995,89.406077,-132.088153,146.356243,7.955175,26.803527,10.223428,16
71026,75.548154,38.595692,Ovis ammon,15733,Bovidae,NT,1,0.045202,11.516809,77.719817,7.398971,3886.343555,83.785212,-138.238423,220.776339,7.20531,30.447579,8.616026,16
71027,75.786621,39.493023,Ovis ammon,15733,Bovidae,NT,1,0.68085,13.744662,56.065165,9.778708,1533.428055,91.806198,-14.696317,24.658953,11.243555,36.38211,7.302295,16
71105,75.446128,37.230414,Ovis ammon,15733,Bovidae,NT,1,1,11.623398,61.246781,12.67496,4417.015601,88.438403,-154.206072,155.289312,7.841443,31.067575,10.175039,16
71106,75.715301,38.131158,Ovis ammon,15733,Bovidae,NT,1,0.160249,12.156653,82.098696,4.746012,3918.117736,88.924099,-135.013621,178.025323,7.528363,33.705888,8.838574,16
71107,75.965658,39.029255,Ovis ammon,15733,Bovidae,NT,0,0,14.442105,64.184426,5.697827,1495.962877,94.439886,-3.478576,19.143838,11.456642,42.44014,7.189156,16
71108,76.203259,39.924334,Ovis ammon,15733,Bovidae,NT,1,0.876517,13.235265,60.333354,9.370254,1811.324191,88.329389,-43.107024,42.605871,10.251001,29.880736,7.077268,16
71187,75.873103,37.666063,Ovis ammon,15733,Bovidae,NT,1,0.545833,12.214472,81.478559,3.828615,3770.535064,91.671873,-126.679199,211.822398,7.325597,35.137798,9.502674,16
71188,76.136575,38.564734,Ovis ammon,15733,Bovidae,NT,0,0,13.705,83.094837,2.272284,2450.212506,93.32298,-55.05724,106.35271,8.743493,32.480306,8.104902,16
71189,76.384733,39.460607,Ovis ammon,15733,Bovidae,NT,0,0,14.856844,51.90734,8.244741,1239.690077,94.064269,2.862386,2.117471,14.327079,46.192906,6.610403,12
71190,76.622752,40.353448,Ovis ammon,15733,Bovidae,NT,1,1,12.155584,74.294997,9.894772,2940.931752,75.857714,-113.56067,94.373626,8.67796,33.435068,6.510866,16
71268,76.020921,37.200586,Ovis ammon,15733,Bovidae,NT,1,0.896066,11.910169,77.362033,4.634554,3848.976926,92.341937,-122.131165,255.934251,7.095697,32.64159,10.114757,16
71269,76.298892,38.099585,Ovis ammon,15733,Bovidae,NT,0,0,13.235764,90.484231,1.017672,2825.194118,94.618054,-67.136566,160.751919,7.842228,34.84537,8.18953,16
71270,76.558654,38.996104,Ovis ammon,15733,Bovidae,NT,0,0,16.374255,61.369176,4.83345,1237.99175,95.490892,7.919638,3.015951,12.975129,31.176325,6.619379,16
71271,76.806079,39.889744,Ovis ammon,15733,Bovidae,NT,1,0.132204,14.175712,57.372174,7.869391,1465.123257,91.511578,-19.399168,30.231597,11.474208,29.78441,5.656761,16
71272,77.045634,40.780369,Ovis ammon,15733,Bovidae,NT,1,1,11.80223,80.229696,10.365825,3487.200025,67.068098,-144.993023,139.071633,7.950806,34.902752,6.586591,10
71348,76.158036,36.734942,Ovis ammon,15733,Bovidae,NT,1,0.995156,11.40864,68.44893,8.104195,4364.33044,90.089938,-147.497984,224.185658,7.266122,30.110881,10.481923,16
71349,76.452069,37.633958,Ovis ammon,15733,Bovidae,NT,0,0,13.095114,86.702819,1.355633,2950.143276,94.972181,-78.408105,188.378026,7.651844,36.722105,8.17819,10
71350,76.724612,38.53093,Ovis ammon,15733,Bovidae,NT,0,0,16.439083,69.021891,3.195705,1437.131269,96.084366,0.177063,20.623191,11.900737,21.175976,7.552456,16
71351,76.982343,39.425255,Ovis ammon,15733,Bovidae,NT,0,0,16.159091,56.228733,5.919043,1187.013795,94.611236,2.756828,0.830988,14.92042,29.980719,5.759971,16
71352,77.230299,40.316665,Ovis ammon,15733,Bovidae,NT,1,0.569199,13.062878,69.69334,6.856817,1995.728556,86.087975,-52.748878,47.274038,10.152962,33.992818,5.113619,16
71353,77.472373,41.205097,Ovis ammon,15733,Bovidae,NT,1,0.875423,11.072835,79.840388,13.375873,4063.730634,51.693676,-176.473991,147.986071,7.954697,33.378326,6.096001,16
71429,76.283639,36.269386,Ovis ammon,15733,Bovidae,NT,1,0.95875,10.337401,63.042837,12.462843,4937.700945,86.229154,-175.924964,232.453929,7.29451,25.757957,11.076966,16
71430,76.595498,37.168029,Ovis ammon,15733,Bovidae,NT,1,0.102793,12.727274,79.549457,2.908368,3494.124044,94.246971,-99.847784,193.437012,7.465334,36.800563,8.951066,10
71431,76.882149,38.06521,Ovis ammon,15733,Bovidae,NT,0,0,16.027184,69.117767,2.593473,1621.792864,96.466344,-5.037983,22.050124,11.08597,28.811448,7.469643,16
71432,77.151195,38.960068,Ovis ammon,15733,Bovidae,NT,0,0,16.789067,60.622352,4.058636,1184.063604,95.87736,6.307212,1.007958,14.658457,22.07049,6.101892,16
71433,77.40833,39.852175,Ovis ammon,15733,Bovidae,NT,0,0,14.035002,63.757905,5.487388,1514.567142,92.124463,-18.991899,38.108464,11.37543,37.788443,3.930077,16
71434,77.657921,40.741367,Ovis ammon,15733,Bovidae,NT,1,1,11.818913,83.107544,7.204396,3056.085722,73.361535,-110.987317,111.021119,8.2581,35.275037,5.319391,10
71511,76.728496,36.702008,Ovis ammon,15733,Bovidae,NT,1,0.220353,11.32528,80.256949,5.345376,4609.81921,90.21355,-159.13769,191.347675,7.344809,29.651142,10.143887,16
71512,77.030749,37.59909,Ovis ammon,15733,Bovidae,NT,0,0,16.100412,72.427006,2.31667,2054.934026,96.593389,-22.471057,54.045497,9.78052,25.758092,7.511653,16
71513,77.312244,38.494287,Ovis ammon,15733,Bovidae,NT,0,0,15.194098,60.362701,3.512263,1214.121882,96.337752,7.220379,1.645113,13.741399,52.281156,6.891949,12
71514,77.579428,39.386975,Ovis ammon,15733,Bovidae,NT,0,0,16.111215,59.430637,4.183429,1156.751925,95.20692,3.752681,0.863277,15.148031,23.43464,4.760973,16
71515,77.837211,40.27686,Ovis ammon,15733,Bovidae,NT,1,0.098428,13.041913,74.757844,4.724687,1933.178214,87.746173,-39.128714,52.702134,9.841984,37.317617,4.41759,16
71516,78.089409,41.163848,Ovis ammon,15733,Bovidae,NT,1,1,11.702961,85.300838,10.020751,3659.749275,59.690549,-145.954016,182.780583,7.467974,31.62822,5.546782,16
71591,76.850299,36.236142,Ovis ammon,15733,Bovidae,NT,0,0,11.273844,81.198652,6.539254,4913.715056,88.654896,-170.399134,222.14644,7.265428,26.301794,12.96439,16
71592,77.169833,37.132745,Ovis ammon,15733,Bovidae,NT,0,0,14.233057,77.997447,2.146992,3032.533995,95.837547,-72.068461,138.14383,8.093581,38.163729,8.031966,10
71593,77.465049,38.028037,Ovis ammon,15733,Bovidae,NT,0,0,16.32006,58.142965,3.007815,1300.46502,96.553737,9.250848,3.713968,12.402903,45.239834,7.389976,12
71594,77.743259,38.921151,Ovis ammon,15733,Bovidae,NT,0,0,15.493144,60.186817,3.664432,1172.534004,96.097637,5.642674,0.834843,14.874787,40.181998,5.555465,12
71595,78.009989,39.811638,Ovis ammon,15733,Bovidae,NT,0,0,14.900607,62.519307,4.724512,1247.472668,94.068948,-1.961726,19.640531,12.998723,32.676835,4.359817,16
